,선수명: ,등번호: ,생년월일: ,포지션: ,신장/체중: ,경력: ,입단 계약금: ,연봉: ,지명순위: ,입단년도: 
70309,윌리엄스,9,1964년 11월 01일,내야수(우투우타),180cm/95kg,미국 후버고,,,,
70310,카펜터,10,1968년 07월 23일,외야수(좌투좌타),182cm/83kg,미국 아칸사스대,,,,
70312,오윤,73,1981년 09월 08일,(우투우타),186cm/98kg,합덕초-온양중-북일고-현대-상무-현대-우리-히어로즈-넥센-한화,,,00 현대 2차 2라운드 12순위,00현대
70317,퀸란,00,1968년 03월 27일,내야수(우투우타),184cm/99kg,미국 힐머래이고-현대,,,,
70323,신철인,23,1977년 05월 22일,투수(우투우타),175cm/75kg,청원초-청원중-경동고-제주관광대,,,00 현대 2차 10라운드 77순위,08넥센
70324,유인보,24,1977년 06월 17일,포수(우투우타),181cm/81kg,부천고-동아대,,,,
70329,마일영,79,1981년 05월 28일,(좌투좌타),177cm/95kg,대전신흥초-충남중-대전고-(경기대)-현대-우리-히어로즈-한화,,,00 쌍방울 2차 1라운드 1순위,00현대
70332,한동희,32,1980년 04월 21일,외야수(좌투좌타),186cm/82kg,군산상고,,,,
70335,브링클리,35,1968년 12월 23일,외야수(우투우타),181cm/93kg,미국 새카리드히오트대,,,,
70342,김동성,42,1982년 01월 10일,포수(우투우타),182cm/74kg,영흥고,,,,
70344,윤인섭,44,1977년 04월 03일,내야수(우투우타),185cm/83kg,인천고-건국대,,,,
70345,김성태,20,1982년 01월 03일,투수(우투우타),185cm/84kg,삼릉초-언북중-장충고-현대-넥센,,,00 현대 2차 6라운드 44순위,00현대
70349,박승민,87,1977년 03월 18일,(우언우타),186cm/90kg,강남초-강남중-서울고-경희대-현대-우리-넥센-KIA,,,,00현대
70352,이상현,52,1981년 04월 05일,투수(우투우타),186cm/90kg,춘천고,,,,
70356,이동학,43,1981년 05월 06일,투수(우투우타),184cm/92kg,회원초-마산동중-마산고-현대-상무-현대-우리-히어로즈-넥센-LG,,,00 현대 2차 1라운드 4순위,00현대
70358,김지성,58,1981년 06월 24일,내야수(우투우타),180cm/75kg,경북고,,,,
70364,전근표,19,1977년 03월 05일,외야수(좌투좌타),185cm/88kg,화곡초-신일중-신일고-한양대-현대-히어로즈,,,96 현대 2차 5라운드 35순위,08히어로즈
70408,박정환,80,1977년 10월 23일,(우투우타),180cm/88kg,효제초-청원중-동대문상고-동국대-삼성-SK,,,,00삼성
70410,김주찬,16,1981년 03월 25일,내야수(우투우타),183cm/94kg,충암초-충암중-충암고-삼성-롯데,18000만원,40000만원,00 삼성 2차 1라운드 5순위,00삼성
70414,프랑코,81,1961년 08월 23일,(우투우타),185cm/95kg,도미니카 Divine(고)-삼성,,,,00삼성
70425,배영수,91,1981년 05월 04일,(우투우타),185cm/100kg,칠성초-경복중-경북고-삼성-한화-두산,,,00 삼성 1차,00삼성
70427,남기헌,27,1977년 08월 01일,외야수(좌투좌타),170cm/84kg,부산고-고려대,,,,
70430,박영진,14,1979년 03월 19일,투수(우투우타),180cm/85kg,경남고,,,,
70432,정경주,32,1981년 01월 25일,내야수(우투우타),173cm/72kg,휘문고,,,,
70434,이용훈,99,1977년 07월 14일,(우투우타),183cm/83kg,동삼초-경남중-부산공고-경성대-삼성-SK-롯데,,,96 삼성 2차 5라운드 17순위,00삼성
70441,가르시아,41,1968년 05월 11일,투수(우투우타),186cm/98kg,미국 리버사이드 커뮤니티대,,,,
70444,이명호,24,1981년 02월 10일,투수(좌언좌타),183cm/80kg,배명고,,,,
70448,박수환,48,1981년 06월 29일,투수(우투우타),180cm/75kg,분당중앙고,,,,
70453,백주한,53,1980년 09월 24일,투수(좌투좌타),190cm/90kg,마산상고,,,,
70454,정승찬,54,1981년 07월 23일,투수(좌투좌타),174cm/64kg,대구고,,,,
70464,구민호,64,1977년 03월 11일,내야수(우투우타),183cm/84kg,경남상고-건국대,,,,
70503,우드,3,1967년 01월 04일,외야수(좌투좌타),188cm/86kg,미국 뉴올리언즈대,,,,
70523,차정국,23,1976년 08월 07일,외야수(우투우타),180cm/83kg,군산상고-경성대,,,,
70531,강민영,31,1981년 07월 04일,투수(우투우타),182cm/76kg,경남고,,,,
70533,김무성,33,1976년 11월 25일,내야수(우투우타),186cm/88kg,인천고-건국대,,,,
70540,정진수,40,1981년 04월 19일,투수(우투우타),185cm/83kg,공주고,,,,
70542,화이트,42,1969년 10월 12일,외야수(우투우타),183cm/101kg,미국 오클라호마대,,,,
70543,박창원,43,1977년 03월 17일,외야수(좌투좌타),184cm/82kg,광주고-경희대,,,,
70546,전영삼,46,1975년 11월 19일,투수(좌투좌타),181cm/80kg,마산상고-동아대-상무,,,,
70553,박기혁,76,1981년 06월 04일,(우투우타),179cm/77kg,대구수창초-성광중-대구상고-롯데-KT,,,00 롯데 2차 2라운드 15순위,00롯데
70554,임성택,54,1977년 05월 05일,외야수(좌투좌타),175cm/81kg,신일고-한양대,,,,
70559,선성균,59,1977년 04월 26일,투수(우투우타),180cm/75kg,진흥고-원광대,,,,
70571,박효순,36,1977년 04월 27일,투수(우투우타),188cm/86kg,부천고-동아대,,,,
70604,박정현,4,1981년 06월 04일,내야수(우투좌타),181cm/75kg,서울고-해태,,,,
70608,양현석,28,1977년 10월 20일,외야수(좌투좌타),180cm/82kg,청원정보고-경희대-해태-SK,,,,
70612,김상훈,71,1977년 10월 27일,(우투우타),180cm/92kg,광주중앙초-충장중-광주제일고-고려대-해태-KIA,,,96 해태 2차우선,00해태
70615,강영식,78,1981년 06월 17일,(좌투좌타),189cm/100kg,칠성초-경복중-대구상원고-해태-삼성-롯데,,,00 해태 2차 2라운드 10순위,00해태
70625,조홍준,25,1977년 04월 27일,내야수(우투우타),186cm/96kg,광주상고-중앙대,,,,
70626,홍세완,34,1978년 01월 16일,(우투우타),183cm/85kg,구로남초-서울경원중-장충고-성균관대-해태-KIA,,,,00해태
70630,최영완,68,1976년 05월 03일,투수(좌투좌타),184cm/83kg,유신고-경희대-해태,,,,
70640,포조,4,1973년 08월 24일,내야수(우투우타),cm/kg,도미니카 프라그라노배인고,,,,
70641,타바레스,40,1971년 03월 26일,외야수(우투양타),183cm/77kg,도미니카 에밀리오 히메네스고,,,,
70643,배스,43,1974년 06월 22일,외야수(좌투좌타),cm/kg,미국 오데아고,,,,
70644,미첼,44,1969년 08월 06일,외야수(우투우타),178cm/82kg,미국 링컨고,,,,
70646,김상현,19,1980년 11월 12일,외야수(우투우타),190cm/95kg,군산초-군산남중-군산상고-(대불대)-해태-KIA-LG-상무-LG-KIA-SK,,,00 해태 2차 6라운드 42순위,01KIA
70648,김원일,69,1981년 03월 04일,투수(우투우타),186cm/75kg,군산상고-해태,,,,
70649,최길성,34,1978년 02월 06일,내야수(우투우타),186cm/95kg,중대초-배재중-배재고-연세대-해태-LG-롯데-SK,,,,
70655,윤형진,66,1977년 09월 13일,투수(우투우타),183cm/86kg,서화초-대헌중-인천고-건국대-해태,,,,
70706,최동연,66,1979년 09월 30일,내야수(우투우타),178cm/78kg,대전고-상무,,,,
70719,김장백,24,1975년 09월 23일,투수(우투우타),182cm/85kg,서울고-연세대-상무,,,,
70723,조윤채,8,1977년 08월 10일,외야수(우투우타),183cm/82kg,광주제일고-동국대,,,,
70738,이상현,27,1976년 12월 11일,외야수(우투우타),183cm/92kg,휘문고-중앙대,,,,
70749,서도원,49,1977년 08월 25일,투수(우투우타),187cm/83kg,경북고-영남대,,,,
70750,허진석,37,1981년 07월 19일,투수(우언우타),181cm/73kg,덕수정보고,,,,
70754,장재혁,42,1976년 03월 16일,투수(우투우타),182cm/82kg,대전고-홍익대,,,,
70755,조규수,43,1981년 09월 15일,투수(우투우타),183cm/82kg,천안남산초-천안북중-북일고-(목원대)-한화,,,00 한화 1차,10두산
70756,이범호,,1981년 11월 25일,내야수(우투우타),183cm/96kg,대구수창초-경운중-대구고-한화,,,00 한화 2차 1라운드 8순위,00한화
70763,박성진,63,1977년 08월 30일,투수(좌투좌타),180cm/78kg,부산고-경희대-상무,,,,
70766,방진호,0,1977년 07월 27일,내야수(우투우타),179cm/78kg,동산고-경남대,,,,
70802,손석만,42,1981년 04월 19일,포수(우투우타),187cm/93kg,강릉고-SK,,,,
70806,장재명,6,1972년 05월 25일,내야수(우투우타),175cm/75kg,군산상고-연세대-현대 피닉스,,,,
70814,신주일,14,1977년 09월 18일,내야수(우투우타),177cm/73kg,광주진흥고-중앙대,,,,
70815,김교욱,15,1981년 08월 16일,투수(우투우타),183cm/82kg,청원정보고,,,,
70819,김민환,19,1977년 05월 27일,투수(우투우타),177cm/80kg,광주제일고-경희대,,,,
70820,이승호,91,1981년 09월 09일,(좌투좌타),176cm/86kg,군산남초-군산남중-군산상고-SK-롯데-NC,,,00 쌍방울 1차,00SK
70831,뮬렌,31,1967년 06월 23일,내야수(우투우타),193cm/96kg,네덜란드 플로리다코랄대,,,,
70832,배홍철,61,1982년 02월 24일,투수(우투우타),182cm/75kg,경남상고,,,,
70833,채종범,88,1977년 12월 03일,(우투우타),180cm/85kg,용지초-마산동중-마산고-연세대-SK-KIA,,,96 쌍방울 2차 12라운드 82순위,00SK
70834,브리또,00,1972년 05월 28일,내야수(우투우타),183cm/82kg,도미니카 산이시드로고-SK-삼성-SK,,,,
70837,혼즈,37,1970년 11월 02일,외야수(우투좌타),182cm/85kg,미국 노스캐롤라이나 센트럴대,,,,
70838,조병찬,38,1977년 05월 17일,외야수(좌투좌타),182cm/85kg,전주고-영남대-쌍방울,,,,
70839,신승현,37,1983년 08월 13일,투수(우언우타),193cm/102kg,금평초-전주동중-전주고-(전남과학대)-SK-KIA,,,00 쌍방울 2차 11라운드 81순위,00SK
70840,콜,32,1968년 01월 23일,투수(우투우타),178cm/84kg,미국 산타클라라대,,,,
70851,김형규,51,1980년 09월 08일,투수(좌투좌타),178cm/67kg,청주기공고,,,,
70855,엄정욱,55,1981년 06월 18일,투수(우투우타),191cm/94kg,수유초-중앙중-중앙고,,,00 쌍방울 2차 2라운드 9순위,00SK
70865,풀리엄,24,1967년 10월 20일,외야수(우투우타),180cm/99kg,미국 매커티어고,,,,
71118,이동현,18,1983년 01월 12일,투수(우투우타),192cm/98kg,영일초-영남중-경기고,,,01 LG 1차,01LG
71120,박용진,19,1982년 04월 24일,투수(우투좌타),181cm/74kg,신일고,,,,
71123,발데스,23,1966년 07월 11일,투수(좌투좌타),181cm/85kg,도미니카 앨리로 파울리뇨고,,,,
71125,린튼,25,1965년 09월 02일,투수(우투우타),182cm/87kg,미국 UC 어빈대,,,,
71134,최성현,34,1982년 07월 26일,투수(우투우타),182cm/77kg,중앙고,,,,
71136,박만채,29,1978년 08월 02일,투수(우투우타),184cm/85kg,휘문고-건국대,,,,
71138,신경석,42,1982년 04월 28일,투수(좌투좌타),176cm/76kg,전주고,,,,
71143,김수환,43,1978년 06월 29일,투수(우투우타),188cm/88kg,청원정보고-경희대,,,,
71148,라경준,48,1979년 02월 20일,내야수(우투우타),183cm/89kg,청원정보고-원광대,,,,
71150,김재학,50,1978년 02월 18일,외야수(좌투좌타),176cm/74kg,덕수상고-중앙대,,,,
71163,박진형,63,1978년 08월 27일,외야수(우투우타),180cm/79kg,경동고-고려대,,,,
71184,이성우,4,1981년 09월 01일,포수(우투우타),180cm/91kg,백운초-청원중-성남서고-상무-SK-KIA-SK,,8000만원,05 SK 육성선수,02상무
71201,최경훈,78,1979년 01월 22일,(우투우타),190cm/100kg,내발산초-신월중-선린상고-고려대-두산-상무,,,,01두산
71202,이대현,38,1982년 06월 09일,투수(우투우타),183cm/92kg,백운초-청운중-청원정보고,,,,
71207,김원섭,51,1978년 12월 18일,외야수(우투좌타),180cm/82kg,장안초-배명중-배명고-단국대-두산,,,97 OB 2차 7라운드 42순위,01두산
71220,베넷,20,1972년 04월 10일,투수(우투우타),196cm/96kg,호주 듀펫대-두산,,,,
71238,김민성,38,1980년 12월 03일,투수(좌투좌타),178cm/75kg,성인고,,,,
71252,윤태수,52,1978년 04월 05일,외야수(우투우타),178cm/90kg,청주기공고-건국대,,,,
71255,김태영,08,1980년 04월 07일,투수(우투우타),181cm/82kg,관산초-중앙중-부천고-한라대-두산-상무-두산,,,01 두산 2차 1라운드 8순위,01두산
71260,이재우,83,1980년 02월 09일,(우투우타),183cm/82kg,고명초-건대부중-휘문고-탐라대-두산-한화,,,98 OB 2차 11라운드 84순위,01두산
71261,김덕용,11,1978년 08월 16일,투수(좌투좌타),178cm/78kg,휘문고-경희대,,,,
71263,장인규,11,1978년 10월 31일,투수(좌투좌타),180cm/81kg,인천고-인하대,,,,
71265,황규택,65,1982년 07월 03일,투수(우투우타),186cm/85kg,휘문고,,,,
71267,김태구,35,1982년 09월 27일,투수(우투우타),183cm/89kg,마산고,,,,
71299,니일,99,1965년 09월 14일,내야수(우투좌타),191cm/98kg,미국 텍사스농공대,,,,
71325,필립스,25,1970년 04월 29일,내야수(좌투좌타),183cm/95kg,미국 비숍고,,,,
71334,설의석,34,1982년 11월 22일,투수(우투우타),184cm/84kg,인천고,,,,
71339,테일러,39,1971년 01월 25일,투수(우투우타),186cm/90kg,미국 베미지 주립대,,,,
71343,여승현,20,1982년 06월 11일,투수(우투우타),184cm/90kg,성남서초초-매송중-한서고,,,,
71347,장민석,53,1982년 05월 09일,외야수(좌투좌타),180cm/73kg,감천초-대동중-경남고-현대-우리-히어로즈-넥센-두산,,,01 현대 2차 1라운드 9순위,01현대
71353,엔리케스,53,1974년 01월 28일,투수(우투우타),198cm/104kg,베네주엘라 파나마공화국고,,,,
71358,이철기,58,1983년 02월 18일,투수(우투우타),178cm/80kg,전주고,,,,
71396,강의석,96,1980년 02월 18일,투수(우투우타),185cm/88kg,한서고-제주관광대,,,,
71412,바에르가,12,1968년 11월 04일,내야수(우투양타),180cm/98kg,푸에르토리코 바바라고,,,,
71414,리베라,14,1969년 01월 11일,투수(우투우타),201cm/114kg,도미니카 산페드로고,,,,
71419,마르티네스,25,1970년 10월 03일,외야수(우투우타),185cm/88kg,도미니카 가스톤고,,,,
71429,이성수,40,1978년 03월 08일,투수(좌투좌타),180cm/80kg,서울고-홍익대,,,,
71432,박한이,33,1979년 01월 28일,외야수(좌투좌타),182cm/91kg,초량초-부산중-부산고-동국대,,,97 삼성 2차 6라운드 44순위,01삼성
71433,이정호,82,1982년 04월 27일,(우투우타),187cm/98kg,내당초(삼성리틀)-경상중-대구상고-삼성-현대-우리-히어로즈-넥센,,,01 삼성 1차,01삼성
71440,김덕윤,28,1982년 04월 21일,투수(우투우타),183cm/86kg,동삼초-대신중-경남상고-대불대-삼성,,,,
71441,토레스,41,1972년 03월 11일,투수(우투우타),182cm/82kg,도미니카 센트로고,,,,
71443,갈베스,41,1964년 03월 31일,투수(우투우타),180cm/107kg,도미니카 푸에르토리코고,,,,
71454,황영구,54,1979년 02월 06일,포수(우투우타),182cm/85kg,포철공고-경남대,,,,
71458,정정오,58,1980년 02월 10일,내야수(우투우타),178cm/78kg,광주제일고,,,,
71463,조정권,53,1976년 02월 25일,외야수(좌투좌타),175cm/82kg,경동고-홍익대-삼성-한화,,,,
71504,신명철,91,1978년 08월 06일,(우투우타),181cm/77kg,용지초-마산동중-마산고-연세대-롯데-삼성-KT,,,97 롯데 2차우선,01롯데
71509,권오현,10,1978년 03월 12일,외야수(우투우타),182cm/80kg,신일고-성균관대,,,,
71522,칸세코,22,1964년 07월 02일,(우투우타),187cm/100kg,,,,,
71536,레이,36,1973년 02월 06일,투수(우투우타),184cm/90kg,미국 파랏카고,,,,
71543,얀,43,1966년 07월 24일,외야수(우투우타),190cm/95kg,,,,,
71550,김장현,26,1978년 10월 16일,투수(우투우타),181cm/87kg,숭의초-동산중-신일고-연세대-롯데,,,,
71551,이대일,21,1980년 08월 01일,투수(우투우타),182cm/79kg,동산고,,,,
71552,최준석,60,1983년 02월 15일,내야수(우투우타),187cm/130kg,칠성초-포철중-포철공고-(영남사이버대)-롯데-두산-롯데,,,01 롯데 2차 6라운드 49순위,01롯데
71558,박상민,58,1978년 08월 11일,외야수(좌투좌타),176cm/82kg,중앙고-영남대,,,,
71562,박종윤,36,1982년 04월 11일,내야수(좌투좌타),188cm/90kg,구영초-제일중-포철공고-롯데-상무,,,01 롯데 2차 4라운드 33순위,01롯데
71563,김제빈,63,1982년 03월 31일,투수(우투우타),189cm/92kg,중앙고,,,,
71564,이대호,10,1982년 06월 21일,내야수(우투우타),194cm/130kg,부산수영초-대동중-경남고-(영남사이버대),21000만원,250000만원,01 롯데 2차 1라운드 4순위,01롯데
71565,이우민,75,1982년 05월 04일,(우투좌타),182cm/90kg,부산수영초-부산중-부산상고-롯데-상무-롯데,,,01 롯데 2차 2라운드 17순위,01롯데
71569,박영호,69,1977년 05월 03일,외야수(우투우타),184cm/85kg,마산고-동아대,,,,
71609,김민철,52,1982년 03월 14일,내야수(우투좌타),178cm/76kg,송정동초-무등중-광주제일고,,,01 해태 2차 7라운드 54순위,
71610,김경언,51,1982년 12월 07일,외야수(좌투좌타),188cm/84kg,부산중앙초-개성중-경남상고-KIA,,,01 해태 2차 2라운드 15순위,01KIA
71636,정원,36,1982년 06월 01일,투수(우투우타),184cm/90kg,화정초-충장중-광주제일고-해태,,,,
71638,오우진,10,1979년 01월 30일,내야수(우투우타),186cm/102kg,휘문고-중앙대-해태-KIA,,,,
71641,이윤학,31,1982년 02월 25일,투수(좌투좌타),188cm/94kg,부산연천초-사직중-울산신정고,,,,
71642,리치,42,1966년 01월 25일,투수(우투우타),178cm/80kg,미국 플로리다주립대,,,,
71643,산토스,43,1966년 12월 29일,내야수(우투우타),195cm/102kg,도미니카 뉴타운고,,,,
71648,심제훈,15,1978년 10월 11일,내야수(우투우타),178cm/78kg,부산고-동아대-해태-KIA,,,,
71649,레스,56,1973년 01월 10일,투수(좌투좌타),190cm/82kg,미국 미시시피주립대-KIA,,,,
71650,권민성,49,1981년 05월 31일,외야수(우투우타),184cm/96kg,광주제일고-대불대,,,,
71653,루이스,53,1972년 11월 22일,투수(우투우타),187cm/90kg,도미니카 그레고리오베웬고,,,,
71661,김주철,48,1982년 05월 05일,투수(우투우타),182cm/80kg,충암초-성남중-성남고-해태,,,,
71663,젠슨,63,1973년 05월 31일,투수(우투우타),190cm/88kg,,,,,
71664,박정규,64,1981년 05월 16일,투수(우투우타),182cm/76kg,한서고-해태-KIA,,,,
71708,김백만,28,1982년 10월 12일,투수(우투우타),183cm/86kg,양정초-부산개성중-부산고-한화,,,,
71713,서창호,13,1978년 06월 03일,내야수(우투우타),178cm/75kg,부산고-고려대,,,,
71715,지승민,67,1978년 09월 12일,투수(좌투좌타),185cm/88kg,군산남초-온양중-북일고-한양대-한화-삼성,,,97 한화 2차 우선,03삼성
71719,에반스,19,1968년 01월 01일,투수(우투우타),190cm/95kg,미국 샌제이신토대,,,,
71720,워렌,19,1967년 04월 26일,투수(우투우타),185cm/81kg,미국 브리지워터고,,,,
71721,차베스,19,1972년 08월 25일,투수(우투우타),184cm/82kg,미국 뉴멕시코주니어대,,,,
71727,누네스,27,1964년 01월 13일,투수(우투우타),cm/kg,도미니카 UASD대,,,,
71728,리스,27,1975년 10월 08일,투수(우투우타),193cm/88kg,미국 버틀러대,,,,
71729,윈스턴,29,1966년 06월 07일,투수(좌투좌타),183cm/88kg,미국 럿저스대,,,,
71744,이송영,44,1979년 01월 17일,포수(우투우타),182cm/93kg,경동고-영남대,,,,
71745,고상천,68,1978년 06월 10일,투수(좌투좌타),185cm/86kg,대전고-홍익대,,,,
71748,박정근,20,1982년 04월 23일,투수(우투우타),184cm/90kg,대구중앙초-대구중-경북고,,,,
71752,김태균,52,1982년 05월 29일,내야수(우투우타),185cm/110kg,천안남산초-천안북중-북일고-(대전대),16000만원,50000만원,01 한화 1차 ,01한화
71753,유영민,60,1982년 03월 01일,투수(우투우타),186cm/83kg,광주제일고,,,,
71757,정진원,57,1976년 09월 05일,내야수(우투우타),177cm/79kg,배명고-단국대,,,,
71761,김대원,61,1978년 05월 18일,내야수(우투양타),178cm/78kg,중앙고-고려대,,,,
71763,김무성,54,1978년 03월 02일,외야수(우투우타),178cm/81kg,경북고-계명대,,,,
71765,김기동,65,1978년 08월 05일,외야수(좌투좌타),cm/kg,원광대,,,,
71801,정대현,41,1978년 11월 10일,투수(우언우타),185cm/101kg,군산중앙초-군산중-군산상고-경희대-SK,,,97 쌍방울 2차우선,01SK
71806,김동건,70,1982년 03월 07일,(우투우타),178cm/94kg,성동초-잠신중-춘천고-SK-상무-SK-NC,,,01 SK 2차 1라운드 3순위,01SK
71809,곽국희,4,1982년 08월 03일,투수(좌투좌타),184cm/83kg,성남고,,,,
71815,박준서,7,1981년 12월 11일,내야수(우투좌타),180cm/80kg,효덕초-동성중-동성고-(대불대)-SK,,,01 SK 2차 3라운드 19순위,01SK
71823,조형식,34,1982년 07월 09일,투수(우투우타),183cm/91kg,영창초-설악중-속초상고,,,,
71827,오승준,34,1982년 08월 06일,투수(우투우타),190cm/94kg,중평초-청량중-신일고-SK,,,,
71829,에르난데스,,1971년 06월 16일,투수(우투우타),189cm/84kg,도미니카 파톤고-SK,,,,
71835,조중근,90,1982년 12월 20일,(좌투좌타),183cm/98kg,석천초-상인천중-동산고-SK-현대-우리-히어로즈-넥센-KT,,,01 SK 2차 6라운드 50순위,01SK
71837,김강민,0,1982년 09월 13일,외야수(우투우타),182cm/87kg,본리초-대구중-경북고,11000만원,35000만원,01 SK 2차 2라운드 18순위,01SK
71842,정상호,58,1982년 12월 24일,포수(우투우타),187cm/100kg,석천초-동인천중-동산고-SK-상무-SK-LG,45000만원,7000만원,01 SK 1차,01SK
71845,채병용,45,1982년 04월 25일,투수(우투우타),185cm/100kg,군산초-신월중-신일고,,,01 SK 2차 6라운드 34순위,01SK
71848,조동화,84,1981년 03월 22일,(좌투좌타),175cm/75kg,공주중동초-공주중-공주고-(대불대)-SK-상무-SK,,,00 SK 육성선수,01SK
71849,윤영보,49,1982년 08월 10일,투수(우투우타),184cm/85kg,동산고,,,,
71851,김건한,49,1981년 03월 26일,투수(우투우타),182cm/82kg,포항초-포철중-포철공고-SK-KIA-상무-KIA,,,01 SK 2차 1라운드 1순위,01SK
71852,이우인,52,1978년 06월 24일,내야수(우투우타),181cm/82kg,군산상고-연세대,,,,
71854,한승진,2,1980년 08월 04일,포수(우투우타),175cm/75kg,전주고,,,,
71857,박재상,76,1982년 07월 20일,(좌투좌타),178cm/82kg,성남동초-매송중-서울고-SK-상무-SK,,,01 SK 2차 11라운드 67순위,01SK
71859,에레라,80,1972년 08월 30일,외야수(좌투좌타),182cm/78kg,도미니카 산체고-SK,,,,
71867,김장준,70,1982년 05월 11일,투수(우투우타),179cm/77kg,서울고,,,,
71901,이준,64,1977년 07월 17일,투수(좌투좌타),179cm/82kg,선린상고-건국대,,,,
72108,김우석,96,1975년 09월 02일,(우투우타),180cm/81kg,석천초-상인천중-인천고-홍익대-상무-LG-삼성,,,,00상무
72123,만자니오,23,1963년 10월 17일,투수(좌투좌타),184cm/95kg,미국 산토도밍고고,,,,
72124,케펜,24,1974년 01월 31일,투수(우투우타),192cm/93kg,미국 조지아서던고,,,,
72131,김용우,31,1979년 09월 12일,내야수(우투좌타),180cm/83kg,인천석천초-상인천중-인천고-연세대-LG,,,98 LG 2차 4라운드 11순위,02LG
72133,박용택,33,1979년 04월 21일,외야수(우투좌타),185cm/90kg,고명초-휘문중-휘문고-고려대,30000만원,80000만원,98 LG 2차우선,02LG
72139,추승우,87,1979년 09월 24일,(우투좌타),187cm/74kg,공연초(하천리틀)-청주중-청주기공고-성균관대-LG-상무-LG-한화,,,98 LG 2차 12라운드 95순위,02LG
72143,김광희,43,1983년 07월 23일,외야수(좌투좌타),188cm/84kg,성남고,,,,
72154,박도현,89,1983년 04월 12일,(우투우타),183cm/105kg,남도초-성광중-경북고-LG-넥센,,,02 LG 2차 2라운드 15순위,02LG
72155,유광일,54,1979년 08월 01일,투수(우투우타),185cm/84kg,효천고-성균관대,,,,
72156,손명래,63,1982년 07월 25일,투수(우투우타),182cm/82kg,수유초-신일중-배명고,,,,
72157,서승화,47,1979년 07월 13일,투수(좌투좌타),195cm/83kg,유천초-한밭중-대전고-동국대,,,98 LG 2차 3라운드 23순위,
72160,김세중,60,1979년 10월 20일,내야수(우투우타),180cm/84kg,충암고-홍익대,,,,
72161,안치용,23,1979년 02월 23일,외야수(우투우타),183cm/93kg,미성초-신일중-신일고-연세대-LG-SK,,,98 LG 2차우선,02LG
72163,김광우,47,1979년 09월 12일,투수(좌투좌타),178cm/80kg,광주제일고-고려대,,,,
72169,오태근,79,1978년 04월 05일,(우투양타),180cm/85kg,서울도곡초-휘문중-휘문고-건국대-LG,,,02 LG 육성선수,02LG
72177,세이케,85,1959년 10월 07일,(우투우타),182cm/83kg,일본 야나가와소고,,,,
72195,이일의,10,1971년 11월 30일,외야수(좌투좌타),185cm/85kg,호쿠요고-일본 케이호우대,,,,
72202,이민택,2,1980년 02월 23일,포수(우투우타),179cm/80kg,배명고-탐라대,,,,
72214,고영민,90,1984년 02월 08일,(우투우타),182cm/73kg,도신초-영남중-성남고-두산,,,02 두산 2차 1라운드 9순위,02두산
