,Unnamed: 0,선수명: ,등번호: ,생년월일: ,포지션: ,신장/체중: ,경력: ,입단 계약금: ,연봉: ,지명순위: ,입단년도: 
18,50092,윤준혁,102.0,2001년 07월 26일,내야수(우투우타),186cm/86kg,역촌초(은평구리틀)-충암중-충암고,8000만원,2700만원,20 KT 2차 4라운드 32순위,20KT
19,50093,김성균,103.0,2001년 07월 06일,내야수(좌투좌타),185cm/93kg,고명초-자양중-신일고,7000만원,2700만원,20 KT 2차 5라운드 42순위,
20,50094,서경찬,104.0,2001년 03월 08일,투수(우투우타),188cm/96kg,효제초-배재중-선린인터넷고,6000만원,2700만원,20 KT 2차 6라운드 52순위,
21,50096,한지용,106.0,2001년 07월 20일,포수(우투좌타),184cm/90kg,화곡초-영남중-신일고,5000만원,2700만원,20 KT 2차 7라운드 62순위,20KT
22,50098,이상원,,1980년 12월 01일,(),183cm/115kg,창영초-인천남중-양곡고-건국대,,,,20KT코치
23,50099,강권민,,1988년 02월 23일,(),174cm/72kg,양덕초-덕천중-낙동고-경성대,,,,20KT코치
24,50101,신익섭,86.0,1992년 10월 05일,(),167cm/68kg,부천중흥고-국민대,,,,20상무코치
25,50105,강민,105.0,2001년 04월 20일,투수(우투우타),188cm/88kg,수유초-홍은중-서울고,8000만원,2700만원,20 LG 2차 4라운드 33순위,
26,50106,유영찬,106.0,1997년 03월 07일,투수(우투우타),185cm/90kg,덕성초(안산리틀)-배명중-배명고-건국대,7000만원,2700만원,20 LG 2차 5라운드 43순위,
27,50107,하영진,107.0,2001년 02월 28일,투수(우투우타),182cm/80kg,안산상록초-원주중-원주고,6000만원,2700만원,20 LG 2차 6라운드 53순위,
28,50108,함창건,108.0,2001년 08월 18일,외야수(좌투좌타),176cm/83kg,백운초-충암중-충암고,5000만원,2700만원,20 LG 2차 7라운드 63순위,
29,50109,성재헌,109.0,1997년 12월 22일,투수(좌투좌타),175cm/82kg,도신초-성남중-성남고-연세대,4000만원,2700만원,20 LG 2차 8라운드 73순위,
30,50110,이정우,110.0,2001년 02월 28일,외야수(우투우타),182cm/84kg,부산수영초-경남중-경남고,3000만원,2700만원,20 LG 2차 9라운드 83순위,
31,50112,박찬호,112.0,2001년 01월 03일,투수(우투우타),190cm/82kg,온양온양초-온양중-영문고,3000만원,2700만원,20 LG 2차 10라운드 93순위,
32,50114,조용근,114.0,1996년 01월 01일,투수(우투우타),187cm/100kg,공주중동초-공주중-공주고-중앙대,,2700만원,20 LG 육성선수,
33,50115,김태우,115.0,1997년 10월 19일,내야수(우투우타),178cm/81kg,광주화정초-자양중-신일고-중앙대,,2700만원,20 LG 육성선수,
34,50116,김도환,116.0,1999년 09월 10일,외야수(좌투좌타),180cm/80kg,효제초-홍은중-선린인터넷고,,2700만원,20 LG 육성선수,
35,50126,이민호,26.0,2001년 08월 30일,투수(우투우타),189cm/93kg,서울학동초-대치중-휘문고,30000만원,2700만원,20 LG 1차,20LG
36,50150,손호영,50.0,1994년 08월 23일,내야수(우투우타),182cm/88kg,의왕부곡초-평촌중-충훈고,,2700만원,20 LG 2차 3라운드 23순위,20LG
37,50157,김윤식,57.0,2000년 04월 03일,투수(좌투좌타),181cm/83kg,광주서석초-무등중-진흥고,20000만원,2700만원,20 LG 2차 1라운드 3순위,20LG
38,50165,라모스,44.0,1994년 12월 28일,내야수(우투좌타),193cm/115kg,멕시코 Canyons(대),50000달러,300000달러,20 LG 자유선발,20LG
39,50167,이주형,67.0,2001년 04월 02일,내야수(우투좌타),183cm/80kg,송수초(해운대리틀)-센텀중-경남고,15000만원,2700만원,20 LG 2차 2라운드 13순위,20LG
40,50200,장원석,,1994년 08월 16일,(),174cm/75kg,중흥초-중흥중-중흥고-경희대,,,,20두산코치
41,50201,조광희,,1994년 01월 07일,(),178cm/71kg,신현초-신현중-신현고-용인대,,,,20두산코치
42,50202,안권수,23.0,1993년 04월 19일,외야수(우투좌타),175cm/80kg,일본 타카사초-일본 키시중-일본 와세다실업고-일본 와세다대,3000만원,2700만원,20 두산 2차 10라운드 99순위,20두산
43,50203,권휘,100.0,2000년 12월 07일,투수(우투우타),181cm/87kg,서울대림초-강남중-덕수고,,2700만원,20 두산 육성선수,
44,50204,박지훈,4.0,2000년 09월 07일,내야수(우투우타),183cm/80kg,김해삼성초-경남중-마산고,6000만원,2700만원,20 두산 2차 5라운드 49순위,20두산
45,50205,박웅,105.0,1997년 11월 12일,투수(우투우타),192cm/103kg,북정초-원동중-경남고-강릉영동대,,2700만원,20 두산 육성선수,
46,50206,최종인,106.0,2001년 05월 01일,투수(우투우타),185cm/84kg,해강초-센텀중-부산고,3000만원,2700만원,20 두산 2차 9라운드 89순위,
47,50207,지원근,107.0,1996년 03월 15일,포수(우투우타),175cm/80kg,수진초-대치중-경동고-제주국제대,,2700만원,20 두산 육성선수,
48,50208,오명진,3.0,2001년 09월 04일,내야수(우투좌타),179cm/79kg,대전신흥초-한밭중-세광고,,2700만원,20 두산 2차 6라운드 59순위,20두산
49,50209,구장익,109.0,1999년 08월 26일,내야수(우투우타),178cm/105kg,김해삼성초-내동중-마산고,,2700만원,20 두산 육성선수,
50,50211,제환유,111.0,2000년 09월 30일,투수(우투좌타),183cm/76kg,둔산초-공주중-공주고,10000만원,2700만원,20 두산 2차 2라운드 19순위,20두산
51,50214,김도경,114.0,1997년 07월 19일,외야수(우투우타),173cm/93kg,율하초-경상중-상원고-한양대,,2700만원,20 두산 육성선수,
52,50234,플렉센,34.0,1994년 07월 01일,투수(우투우타),191cm/113kg,,143000달러,600000달러,20 두산 자유선발,20두산
53,50244,장규빈,44.0,2001년 04월 21일,포수(우투우타),186cm/98kg,갈산초-서울신월중-경기고,14000만원,2700만원,20 두산 2차 1라운드 9순위,20두산
54,50262,이주엽,62.0,2001년 03월 26일,투수(우투우타),188cm/90kg,서울이수초-성남중-성남고,20000만원,2700만원,20 두산 1차,20두산
55,50293,양찬열,93.0,1997년 05월 25일,외야수(우투좌타),179cm/84kg,서울상수초-건대부중-장충고-단국대,4000만원,2700만원,20 두산 2차 8라운드 79순위,20두산
56,50294,김성민,94.0,2000년 08월 27일,투수(좌투좌타),182cm/95kg,학강초-광주동성중-진흥고,4000만원,2700만원,20 두산 2차 7라운드 69순위,
57,50296,조제영,96.0,2001년 02월 12일,투수(우투우타),182cm/89kg,양덕초-마산중-용마고,7000만원,2700만원,20 두산 2차 4라운드 39순위,20두산
58,50298,최세창,98.0,2001년 06월 01일,투수(우투우타),187cm/95kg,부산예원초-사직중-개성고,8000만원,2700만원,20 두산 2차 3라운드 29순위,20두산
59,50300,모터,0.0,1989년 09월 18일,내야수(우투우타),185cm/88kg,미국 Coastal Carolina(대),,200000달러,20 키움 자유선발,20키움
60,50304,김병휘,4.0,2001년 02월 16일,내야수(우투우타),177cm/79kg,효제초-홍은중-장충고,7000만원,2700만원,20 키움 2차 4라운드 37순위,20키움
61,50312,신준우,12.0,2001년 06월 21일,내야수(우투우타),176cm/83kg,대구수창초-경운중-대구고,9000만원,2700만원,20 키움 2차 2라운드 17순위,
62,50350,러셀,50.0,1994년 01월 23일,내야수(우투우타),183cm/88kg,미국 Pace(고),,539996달러,20 키움 자유선발,20키움
63,50354,이종민,54.0,2001년 06월 04일,투수(좌투좌타),185cm/100kg,성동초-덕수중-성남고,11000만원,2700만원,20 키움 2차 1라운드 7순위,20키움
64,50357,박주홍,57.0,2001년 04월 16일,외야수(좌투좌타),188cm/92kg,(하남시리틀)-건대부중-장충고,20000만원,2700만원,20 키움 1차,20키움
65,50360,김동혁,60.0,2001년 12월 27일,투수(우투우타),183cm/83kg,(강남구리틀)-영동중-덕수고,8000만원,2700만원,20 키움 2차 3라운드 27순위,20키움
66,50365,문찬종,65.0,1991년 03월 23일,내야수(우투양타),183cm/83kg,서울도림초(용산구리틀)-선린중-충암고,,2700만원,20 키움 2차 6라운드 57순위,10휴스턴
67,50372,김창현,72.0,1985년 07월 01일,(우투우타),178cm/72kg,가동초-건대부중-대전고-경희대,,,,20키움코치
68,50392,박동혁,92.0,2000년 03월 25일,외야수(우투우타),186cm/95kg,군산남초-언북중-화순고,3000만원,2700만원,20 키움 2차 9라운드 87순위,
69,50393,김동욱,93.0,1997년 05월 16일,투수(우투우타),178cm/89kg,(용산구리틀)-경원중-휘문고-홍익대,2000만원,2700만원,20 키움 2차 10라운드 97순위,
70,50394,정재원,94.0,2001년 06월 14일,외야수(우투우타),183cm/96kg,역북초-덕수중-서울고,4000만원,2700만원,20 키움 2차 7라운드 67순위,
71,50395,김동은,95.0,2000년 10월 16일,투수(우투우타),186cm/100kg,광주수창초-충장중-광주동성고,3000만원,2700만원,20 키움 2차 8라운드 77순위,
72,50397,박관진,97.0,1997년 03월 26일,투수(우투우타),186cm/90kg,소양초-춘천중-강릉고-인하대,6000만원,2700만원,20 키움 2차 5라운드 47순위,
73,50400,윤석훈,83.0,1986년 08월 31일,(우투우타),180cm/106kg,녹수초-현대중-현대고-대구한의대,,,,20삼성코치
74,50401,이상일,84.0,1984년 05월 05일,(우투우타),161cm/74kg,내당초-경상중-경북고-미네소타주립대,,,,20삼성코치
75,50402,전일우,95.0,1987년 03월 30일,(우투우타),170cm/69kg,대구대남초-대구학산중-대구고-영남대,,,,20삼성코치
76,50403,한흥일,86.0,1987년 04월 06일,(우투우타),173cm/70kg,미포초-일산중-방어진고-대구대,,,,20삼성코치
77,50404,뷰캐넌,4.0,1989년 05월 11일,투수(우투우타),190cm/90kg,미국 Georgia State(대),100000달러,600000달러,20 삼성 자유선발,20삼성
78,50405,황승현,80.0,1991년 11월 10일,(우투우타),178cm/78kg,남계초-현일중-현일고-대구한의대,,,,20삼성코치
79,50411,박주혁,101.0,2001년 05월 18일,투수(우투우타),182cm/82kg,남정초-덕수중-휘문고,6000만원,2700만원,20 삼성 2차 5라운드 45순위,
80,50412,조경원,119.0,2001년 03월 15일,투수(좌투좌타),183cm/92kg,태전초(광주시리틀)-모가중-비봉고,5000만원,2700만원,20 삼성 2차 6라운드 55순위,
81,50413,한연욱,112.0,2001년 02월 11일,투수(우투우타),188cm/84kg,대구수창초-대구중-대구고,3000만원,2700만원,20 삼성 2차 9라운드 85순위,
82,50414,정진수,107.0,1997년 09월 25일,포수(우투좌타),177cm/93kg,천안남산초-영동중-휘문고-연세대,5000만원,2700만원,20 삼성 2차 7라운드 65순위,
83,50415,김경민,105.0,1997년 08월 01일,내야수(우투우타),183cm/100kg,진북초-전라중-포철고-성균관대,3000만원,2700만원,20 삼성 2차 10라운드 95순위,
84,50416,신동수,110.0,2001년 06월 08일,내야수(우투우타),183cm/90kg,사파초-부산중-개성고,4000만원,2700만원,20 삼성 2차 8라운드 75순위,
85,50430,홍원표,30.0,2001년 03월 27일,투수(우투우타),183cm/86kg,신도초-부천중-부천고,8000만원,2700만원,20 삼성 2차 3라운드 25순위,20삼성
86,50441,황동재,41.0,2001년 11월 03일,투수(우투우타),191cm/97kg,율하초-경운중-경북고,23000만원,2700만원,20 삼성 1차,20삼성
87,50449,허윤동,49.0,2001년 06월 19일,투수(좌투좌타),181cm/90kg,(덕양구리틀)-금릉중-유신고,15000만원,2700만원,20 삼성 2차 1라운드 5순위,20삼성
88,50458,김지찬,58.0,2001년 03월 08일,내야수(우투좌타),163cm/64kg,백사초(이천시리틀)-모가중-라온고,11000만원,2700만원,20 삼성 2차 2라운드 15순위,20삼성
89,50464,이승민,64.0,2000년 08월 26일,투수(좌투좌타),174cm/79kg,본리초-경상중-대구고,7000만원,2700만원,20 삼성 2차 4라운드 35순위,20삼성
90,50468,살라디노,68.0,1989년 07월 20일,내야수(우투우타),183cm/90kg,미국 Oral Roberts(대),100000달러,700000달러,20 삼성 자유선발,20삼성
91,50500,황성빈,,1997년 12월 19일,외야수(우투좌타),175cm/73kg,관산초-안산중앙중-소래고-경남대,7000만원,2700만원,20 롯데 2차 5라운드 44순위,
92,50506,마차도,6.0,1992년 02월 22일,내야수(우투우타),185cm/91kg,베네수엘라 Miguel De Cervantes(고),200000달러,300000달러,20 롯데 자유선발,20롯데
93,50507,엄태호,43.0,2001년 01월 03일,외야수(우투좌타),186cm/84kg,도신초-영남중-장충고,6000만원,2700만원,20 롯데 2차 6라운드 54순위,
94,50508,이찬우,8.0,1997년 11월 19일,포수(우투우타),182cm/87kg,가야초(동래구리틀)-대천중-부산공고-단국대,,2700만원,20 롯데 육성선수,
95,50517,김건우,59.0,2001년 04월 25일,외야수(우투좌타),176cm/73kg,광주서림초-광주동성중-제물포고,5000만원,2700만원,20 롯데 2차 7라운드 64순위,
96,50524,샘슨,24.0,1991년 10월 07일,투수(우투우타),189cm/95kg,미국 Skyline(고)-미국 Bellevue(대),339700달러,500000달러,20 롯데 자유선발,20롯데
97,50550,김대환,,1974년 06월 07일,(),173cm/72kg,서울양화초-영도중-대일고-한양대-차의과학대학원,,,,20롯데코치
98,50551,김태현,,1987년 03월 11일,(),180cm/95kg,송현초-대구대서중-대곡고-경운대,,,,20롯데코치
99,50552,손재원,,1981년 11월 11일,(),185cm/98kg,수원남창초-수원북중-분당중앙고-일본 Tokyo Sports & Resort(대),,,,20롯데코치
100,50556,최준용,56.0,2001년 10월 10일,투수(우투우타),185cm/85kg,부산수영초-대천중-경남고,25000만원,2700만원,20 롯데 1차,20롯데
101,50558,스트레일리,58.0,1988년 12월 11일,투수(우투우타),189cm/100kg,미국 Turston(고)-미국 Marshall(대),300000달러,500000달러,20 롯데 자유선발,20롯데
102,50563,박재민,63.0,2001년 08월 27일,투수(좌투좌타),186cm/88kg,군산중앙초-청원중-전주고,11000만원,2700만원,20 롯데 2차 2라운드 14순위,20롯데
103,50573,김민기,73.0,1996년 02월 14일,투수(우투우타),177cm/83kg,부산금강초-대동중-경남고-중앙대,,2700만원,20 롯데 육성선수,
104,50574,설재민,74.0,1997년 05월 01일,투수(우투우타),174cm/80kg,성동초-배명중-배명고-홍익대,,2700만원,20 롯데 육성선수,
105,50576,한지운,76.0,2001년 03월 30일,포수(우투우타),186cm/92kg,광주대성초-충장중-광주제일고,4000만원,2700만원,20 롯데 2차 8라운드 74순위,
106,50584,정도웅,84.0,2001년 04월 03일,내야수(우투우타),176cm/85kg,광주화정초-무등중-광주제일고,7000만원,2700만원,20 롯데 2차 4라운드 34순위,20롯데
107,50585,콩거,85.0,1988년 01월 29일,(우투양타),188cm/102kg,미국 Huntington Beach(고),,,,20롯데코치
108,50587,윤윤덕,87.0,1990년 02월 20일,(),178cm/78kg,덕성초-주성중-청석고-서울시립대,,,,20롯데코치
109,50589,롱,89.0,1973년 02월 03일,(우투우타),188cm/97kg,미국 J.Frank Dobie(고),,,,20롯데코치
110,50590,신학진,90.0,2000년 12월 12일,투수(우투우타),185cm/78kg,중대초-성남중-강릉고,3000만원,2700만원,20 롯데 2차 10라운드 94순위,
111,50592,박명현,92.0,2001년 06월 16일,투수(우투우타),185cm/80kg,부천북초-대원중-야탑고,9000만원,2700만원,20 롯데 2차 3라운드 24순위,20롯데
112,50593,백어진,93.0,1990년 11월 26일,(우투우타),181cm/83kg,광주수창초-진흥중-진흥고,,,,20롯데코치
113,50594,김현종,94.0,2000년 05월 22일,투수(좌투좌타),183cm/80kg,고원초(금천구리틀)-영남중-광명공고,3000만원,2700만원,20 롯데 2차 9라운드 84순위,
114,50595,헤르젠버그,95.0,1990년 04월 23일,(좌투좌타),180cm/113kg,미국 White Plains(고)-미국 Georgetown(대),,,,20롯데코치
115,50596,홍민기,96.0,2001년 07월 20일,투수(좌투좌타),185cm/85kg,법동초-한밭중-대전고,16000만원,2700만원,20 롯데 2차 1라운드 4순위,20롯데
116,50597,차혜성,97.0,1997년 02월 17일,외야수(좌투좌타),175cm/75kg,순천북초-순천이수중-효천고-동의대,,2700만원,20 롯데 육성선수,
117,50600,홍종표,0.0,2000년 05월 02일,내야수(우투좌타),178cm/72kg,동막초-영남중-강릉고,11000만원,2700만원,20 KIA 2차 2라운드 16순위,20KIA
118,50604,유지성,4.0,2000년 11월 15일,투수(좌투좌타),189cm/94kg,수유초-자양중-북일고,7000만원,2700만원,20 KIA 2차 4라운드 36순위,20KIA
119,50608,이인한,8.0,1998년 12월 24일,외야수(우투우타),183cm/100kg,광주대성초-심석중-강릉고-강릉영동대,3000만원,2700만원,20 KIA 2차 9라운드 86순위,
120,50609,윌리엄스,9.0,1965년 11월 28일,(우투우타),188cm/92kg,미국 Carson City(고)-미국 Nevada(대),,,,20KIA감독
121,50613,김양수,13.0,2001년 01월 23일,투수(우투우타),184cm/80kg,천안남산초-천안북중-북일고,6000만원,2700만원,20 KIA 2차 5라운드 46순위,
122,50614,김연준,14.0,1996년 12월 20일,외야수(우투좌타),0cm/0kg,경기고-중앙대,,2700만원,20 KIA 육성선수,
123,50622,오규석,22.0,2001년 12월 04일,투수(우투우타),187cm/97kg,희망대초-휘문중-휘문고,8000만원,2700만원,20 KIA 2차 3라운드 26순위,
124,50632,백현종,32.0,1999년 06월 10일,포수(우투우타),184cm/94kg,활천초-대신중-경주고-동강대,4000만원,2700만원,20 KIA 2차 7라운드 66순위,
125,50636,브룩스,36.0,1990년 04월 27일,투수(우투우타),193cm/104kg,미국 Cajon(고)-미국 California State(대),200000달러,479000달러,20 KIA 자유선발,20KIA
126,50637,강민수,37.0,2001년 02월 14일,투수(우투우타),176cm/80kg,길동초-건대부중-장충고,4000만원,2700만원,20 KIA 2차 8라운드 76순위,
127,50640,가뇽,40.0,1990년 06월 26일,투수(우투우타),193cm/97kg,미국 Liberty(고)-미국 California State(대),200000달러,650000달러,20 KIA 자유선발,20KIA
128,50641,장재혁,40.0,2001년 08월 02일,투수(우투우타),180cm/86kg,부산금강초-대신중-경남고,5000만원,2700만원,20 KIA 2차 6라운드 56순위,
129,50650,최용준,50.0,2001년 12월 19일,투수(우투우타),193cm/97kg,양산신양초-경남중-부산공고,3000만원,2700만원,20 KIA 2차 10라운드 96순위,
130,50657,박민,57.0,2001년 06월 05일,내야수(우투우타),184cm/84kg,갈산초-성남중-야탑고,15000만원,2700만원,20 KIA 2차 1라운드 6순위,20KIA
131,50662,정해영,62.0,2001년 08월 23일,투수(우투우타),189cm/98kg,광주대성초-광주동성중-광주제일고,20000만원,2700만원,20 KIA 1차,20KIA
132,50677,위더마이어,77.0,1955년 01월 17일,(우투우타),175cm/85kg,미국 Upper Arlington(고)-미국 Union(대)-미국 Ohio State(대학원),,,,20KIA코치
133,50695,유재민,95.0,1988년 03월 20일,(우언우타),170cm/78kg,신촌초-대동중-대동고-한체대,,,,20KIA코치
134,50697,윤인득,97.0,1987년 12월 08일,(우투우타),178cm/78kg,옥포초-옥포중-거제중앙고-한체대,,,,20KIA코치
135,50701,김소중,,1987년 06월 27일,(),184cm/80kg,광양제철남초-광양제철중-광양제철고-상명대,,,,20한화코치
136,50702,김연규,,1989년 01월 20일,(),179cm/80kg,중원초-금광중-성남서고-세명대,,,,20한화코치
137,50703,서진영,,1990년 02월 03일,(),180cm/75kg,숭신초-삼선중-홍대부고-연세대,,,,20한화코치
138,50704,임종찬,96.0,2001년 09월 28일,외야수(우투좌타),184cm/85kg,청주우암초-청주중-북일고,9000만원,2700만원,20 한화 2차 3라운드 28순위,20한화
139,50705,강재민,62.0,1997년 04월 03일,투수(우투우타),180cm/86kg,양덕초-마산중-용마고-단국대,8000만원,2700만원,20 한화 2차 4라운드 38순위,20한화
140,50706,장웅정,106.0,1997년 04월 11일,투수(우투우타),181cm/76kg,수원신곡초-수원북중-유신고-동국대,7000만원,2700만원,20 한화 2차 5라운드 48순위,
141,50707,최인호,34.0,2000년 01월 30일,외야수(우투좌타),178cm/82kg,송정동초-광주동성중-포철고,6000만원,2700만원,20 한화 2차 6라운드 58순위,20한화
142,50708,최이경,108.0,1996년 03월 12일,투수(좌투좌타),175cm/91kg,역북초-수원북중-유신고-동국대,5000만원,2700만원,20 한화 2차 7라운드 68순위,
143,50709,박정현,56.0,2001년 07월 27일,내야수(우투우타),183cm/85kg,부천북초-부천중-유신고,4000만원,2700만원,20 한화 2차 8라운드 78순위,20한화
144,50710,김범준,110.0,2000년 09월 30일,투수(우투우타),175cm/83kg,서울도곡초-선진중-충암고,3000만원,2700만원,20 한화 2차 9라운드 88순위,
145,50711,김승일,111.0,2001년 07월 07일,투수(우언우타),183cm/85kg,부산해강초(해운대리틀)-센텀중-경남고,3000만원,2700만원,20 한화 2차 10라운드 98순위,
146,50712,김현제,112.0,1997년 01월 19일,투수(우투우타),185cm/94kg,남도초-경상중-대구고-영남대,,2700만원,20 한화 육성선수,
147,50713,박재경,113.0,1997년 04월 09일,내야수(우투우타),170cm/75kg,온양온천초-온양중-청주고-영남대,,2700만원,20 한화 육성선수,
148,50714,김광명,114.0,1997년 03월 27일,외야수(우투좌타),176cm/80kg,청주경산초-세광중-세광고-동아대,,2700만원,20 한화 육성선수,
149,50720,남지민,20.0,2001년 02월 12일,투수(우투우타),181cm/95kg,양정초-개성중-부산정보고,16000만원,2700만원,20 한화 2차 1라운드 8순위,20한화
150,50726,한승주,26.0,2001년 03월 17일,투수(우투우타),184cm/82kg,부산수영초-대천중-부산고,11000만원,2700만원,20 한화 2차 2라운드 18순위,20한화
151,50730,반즈,30.0,1986년 05월 15일,외야수(우투우타),188cm/95kg,미국 Katella(고)-미국 Cypress(대),50000달러,50000달러,20 한화 자유선발,20한화
152,50758,신지후,58.0,2001년 06월 12일,투수(우투우타),198cm/105kg,대전유천초-충남중-북일고,22000만원,2700만원,20 한화 1차,20한화
153,50801,김주윤,,1982년 05월 20일,(우투우타),171cm/70kg,양재초-영동중-양재고-경남대,,,,20SK코치
154,50811,길지석,93.0,2001년 11월 02일,투수(우투우타),190cm/110kg,(인천남구리틀)-매송중-야탑고,4000만원,2700만원,20 SK 2차 7라운드 70순위,
155,50812,박시후,64.0,2001년 05월 10일,투수(좌투좌타),182cm/88kg,상인천초-상인천중-인천고,2000만원,2700만원,20 SK 2차 10라운드 100순위,
156,50813,양선률,94.0,1997년 04월 15일,투수(우투우타),186cm/87kg,학강초-화순중-화순고-동아대,,2700만원,20 SK 육성선수,20SK
157,50814,이재성,95.0,2001년 03월 15일,투수(좌투좌타),185cm/80kg,(화성시리틀)-서울청담중-라온고,6000만원,2700만원,20 SK 2차 5라운드 50순위,
158,50815,킹엄,15.0,1991년 11월 08일,투수(우투우타),196cm/106kg,미국 Sierra Vista(고),200000달러,500000달러,20 SK 자유선발,20SK
159,50816,김태우,8.0,1995년 02월 20일,포수(우투우타),175cm/89kg,서현초-배명중-경기고-동국대,,2700만원,20 SK 육성선수,
160,50817,김교람,98.0,2000년 03월 29일,내야수(우투우타),185cm/86kg,고봉초(인천서구리틀)-고양신일중-제물포고,3000만원,2700만원,20 SK 2차 8라운드 80순위,
161,50818,석호준,97.0,1997년 07월 23일,내야수(우투우타),181cm/96kg,효제초-충암중-충암고-동국대,,2700만원,20 SK 육성선수,
162,50819,이거연,67.0,1997년 06월 15일,내야수(우투우타),186cm/92kg,(용산구리틀)-언북중-휘문고-홍익대,3000만원,2700만원,20 SK 2차 9라운드 90순위,20SK
163,50820,전의산,96.0,2000년 11월 25일,내야수(우투좌타),188cm/98kg,부산수영초-개성중-경남고,13000만원,2700만원,20 SK 2차 1라운드 10순위,
164,50835,핀토,35.0,1994년 01월 20일,투수(우투우타),183cm/88kg,베네수엘라 Liceo Alfredo Pietri(고),100000달러,450000달러,20 SK 자유선발,20SK
165,50840,현원회,40.0,2001년 07월 08일,포수(우투우타),180cm/95kg,가동초-경상중-대구고,7000만원,2700만원,20 SK 2차 4라운드 40순위,20SK
166,50848,김성민,48.0,2001년 04월 30일,내야수(우투우타),184cm/88kg,서울학동초-자양중-경기고,10000만원,2700만원,20 SK 2차 2라운드 20순위,20SK
167,50854,최지훈,54.0,1997년 07월 23일,외야수(우투좌타),178cm/82kg,광주수창초-무등중-광주제일고-동국대,8000만원,2700만원,20 SK 2차 3라운드 30순위,20SK
168,50859,오원석,59.0,2001년 04월 23일,투수(좌투좌타),182cm/80kg,수진초-매송중-야탑고,20000만원,2700만원,20 SK 1차,20SK
169,50868,류효승,68.0,1996년 07월 16일,외야수(우투우타),190cm/100kg,칠성초-경상중-대구상원고-성균관대,5000만원,2700만원,20 SK 2차 6라운드 60순위,20SK
170,50900,임형원,0.0,2001년 09월 15일,투수(우투우타),183cm/73kg,시흥계수초(소사리틀)-동산중-인천고,8000만원,2700만원,20 NC 2차 4라운드 31순위,20NC
171,50901,안인산,0.0,2001년 02월 27일,투수(우투우타),181cm/95kg,군포오금초(안양시리틀)-평촌중-야탑고,10000만원,2700만원,20 NC 2차 3라운드 21순위,20NC
172,50902,김한별,102.0,2001년 01월 18일,투수(우투우타),177cm/85kg,효제초-선린중-배재고,5000만원,2700만원,20 NC 2차 7라운드 61순위,
173,50903,한재환,103.0,2001년 10월 19일,내야수(우투우타),177cm/89kg,(기장리틀)-대신중-개성고,4000만원,2700만원,20 NC 2차 8라운드 71순위,
